ESP32-C3:1
G***:4
H3:1
H4:1
H5:1
H6:1
ROTARY ENCODER 1:1
ROTARY ENCODER 2:1
SW1:1
SW2:1
SW3:1
SW4:1
SW5:1
SW6:1
